Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
FRAS1	0.301	0.301	0.301	0.954		0.000		0.000	0.477	0.000	0.000	0.000	0.301		0.301			0.477		0.778		0.000		0.000	0.477				0.477				0.602	1.041		0.477					0.000			0.477	
FREM2				1.176																														0.301											
FRRS1				0.477	0.301			0.477				0.000	0.301	0.000		0.477	0.301	0.301	0.477	0.778	0.477		0.000				0.000	0.000						0.000										0.477	
FSTL1	0.699	0.778	0.602	0.301	0.954	0.954	0.699	0.602	0.477	0.477		0.602	0.477	0.699	0.903	0.778		0.954	0.301	1.000	0.000			0.477		0.301	0.903	1.000	0.477	0.778	0.477			0.477	0.778	1.000	1.041	0.845	0.477	0.477	0.477		0.778	0.778	
FUCA2	0.000	0.602	0.477	0.778	0.602	0.477	0.778	0.699	0.477	0.903	0.954	0.000	0.699	0.845	0.477	0.954	0.477	0.845	0.000	0.477	1.041	0.477		0.602	0.778	0.699	0.602		0.301		0.699	0.000	0.845	0.301	0.301	0.602	0.602	0.000		0.699	0.602	0.602	0.602	0.778	
FUT11	0.000	0.477	0.477	0.477	0.477	0.477	0.301	0.477		0.477	0.000	0.477	0.477	0.477		0.477	0.301	0.301			0.477	0.000	0.477		0.000			0.301		0.301	0.477	0.477		0.699		0.301	0.477	0.477	0.477	0.000	0.301			0.477	
GAA	1.230	1.204	1.342	1.230	1.398	1.176	1.342	1.204	1.176	1.362	1.279	1.204	1.342	1.322	1.204	1.362	1.230	1.322	1.230	1.204	1.415	1.230	1.342	1.301	1.255	1.301	1.301	1.301	1.114	1.279	1.342	1.176	1.342	1.342	1.204	1.322	1.176	1.342	1.079	1.255	1.322	1.279	1.176	1.301	
GALC									0.000											0.903																									
GALNS		0.477	0.602	0.602		0.000	0.699	0.477	0.477	0.699		0.602	0.301	0.778		0.477	0.602	0.602		0.903	0.477		0.699	0.301	0.301		0.699		0.301	0.301	0.301	0.602	0.477	0.477	0.301	0.000	0.301	0.301		0.477	0.602			0.602	
GALNT3		0.301		1.000	0.301	0.954	0.903	1.204	0.477	0.845	0.477	0.845		0.778	0.845	0.699	1.000	0.301	0.301	1.041	0.903	0.477	0.954	0.699	0.845	0.778	0.699	0.477			0.477	0.477	0.602	0.699	0.477	0.477	0.000	0.301		0.000	0.903			1.176	
GALNT5			0.602	0.602				0.845	0.000	1.000		0.477	0.477	0.903		0.954	0.903			0.602			1.000			0.000								0.000				0.000		0.301	0.000	0.000	0.301	0.301	
GANAB	0.778	0.699	0.602	1.000	0.778	0.845	0.778	1.000	0.845	0.602	0.602	0.699	0.778	0.778	0.845	0.699	0.778	0.778	0.602	0.845	0.477	0.301	0.699	0.477	0.477	0.477	0.699	0.301	0.699	0.699	0.699	0.477	0.778	1.000	0.301	0.903	0.602	0.602	0.602	0.602	0.903	0.699	0.845	0.954	
GAPDH	1.447	1.602	0.778	1.342	1.792	1.771	1.255	1.362	1.000	0.778	0.699	1.079	0.301		1.415	1.000	0.903	1.732	1.505	1.079	1.000	1.643	0.903	0.954			1.362	1.322	1.623	1.672	1.613	1.322	0.845	1.724	1.114	1.681	1.748	1.653	1.505	1.653	1.531	0.699	1.778	1.740	
GBA	1.204	1.230	1.255	1.255	1.176	1.301	1.176	1.322	1.204	1.322	1.255	1.255	1.176	1.322	1.279	1.322	1.342	1.255	1.146	1.114	1.301	0.954	1.431	1.146	1.230	1.176	1.279	1.114	1.176	1.041	1.146	1.000	1.279	1.301	1.176	1.204	1.079	1.176	0.845	1.447	1.362	1.230	1.079	1.491	
GDE1							0.000		0.000	0.301	0.000	0.000								0.477						0.000							0.000											0.000	
GDI1		0.000				0.477									0.000			0.477		0.000											0.699												0.301	0.477	
GGCX			0.000	0.301		0.602	0.778	0.602	0.301	0.301	0.000	0.477	0.301	0.602	0.000	0.301	0.000	0.000		0.000	0.602		0.477			0.301	0.778	0.000						0.778			0.000			0.477	0.000		0.301	0.699	
GGH	0.699	0.602	0.845	1.041	0.778	0.903	0.903	1.000	0.778	1.146	0.845	0.778	1.000	0.845	0.778	0.903	0.903	0.778	0.845	0.845	0.954	0.602	0.903	0.778	0.778	0.778	0.778	0.477	0.845	0.699	0.954	0.778	0.778	1.079	0.699	0.845	0.778	0.778		0.903	1.230	0.778	0.778	0.954	
GGT1	0.699		0.477	0.477	0.778	0.301	0.477	0.699	0.699		0.477	0.903		0.477	0.477	0.477	0.778	0.477	1.000	0.477	0.778	0.477	0.477	0.477	0.477	0.000	0.301	0.477		0.477	0.477	0.778	0.477		0.477	0.477	1.041	0.000	0.477	1.079	0.477	0.477	0.301	0.477	
GGT5	0.301		0.477	0.477	0.000	1.000	1.079	0.954	0.954	1.000	0.000	0.903	0.954	0.954	0.699	0.778	0.778		0.301	1.114	0.602		1.146	1.114		0.301	0.903		0.477	0.301				1.041	0.903	0.301	0.000	0.000		0.778	0.845	0.903	0.699	0.778	
GGT7	1.079	1.146	1.114	1.230	0.778	0.778	0.477	1.146	1.041	0.778	0.699	0.477	1.079	1.041	0.477	0.954	1.079	1.146	1.079	1.041	1.176	0.954	1.230	0.778	0.954	0.000		1.079	1.041	1.041	1.000	1.000	0.602	1.362	1.114	1.342	1.114	1.114	0.954	1.079	1.301	0.602	0.000	1.176	
GLA	0.301	0.477	0.477	0.602	0.477	0.000	0.477	0.477	0.000	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.602	0.301	0.477	0.699	0.477	0.477	0.477	0.477		0.477	0.602	0.477		0.602	
GLB1	0.778	0.778	1.204	1.079	0.903	0.954	0.845	1.041	0.954	0.954	1.146	1.176	0.845	1.079	0.845	1.230	1.204	0.954	1.000	1.041	1.176	0.699	1.301	0.954	1.079	0.954	0.954	0.699	0.778	0.903	0.778	0.699	0.954	1.176	0.778	0.903	0.903	0.903	0.903	0.903	1.041	1.176	1.041	0.903	
GLCE		0.477	0.602	0.699	0.301	0.602	0.699	0.477	0.301	0.699	0.477	0.477	0.778	0.477	0.602	0.301	0.477	0.301		0.477	0.602		0.778	0.954	0.477	0.477	0.699		0.301	0.301	0.301		0.602	0.778	0.000	0.602	0.301	0.477		0.778	0.000	0.477		1.176	
GLG1	0.845	0.301	1.041	0.845	0.699	0.903	0.778	1.041	1.114	1.041	1.041	1.079	0.778	1.041	0.954	1.041	1.114	0.699	0.954	1.041	1.000	0.699	1.000	1.000	0.954	1.041	0.903	0.954	0.602	0.699	0.602	0.477	1.146	0.699	0.778	0.903	0.699	0.845	0.699	0.903	1.000	1.079	1.041	0.903	
GLMP	0.778	0.778	0.954	0.778	0.845	0.000	0.845	0.699	0.778	0.903	0.699	0.778	0.778	0.903	0.699	0.778	0.903	0.845	0.602	0.954	0.778	0.778	0.903	0.477	0.477	0.778	0.699	0.699		0.845	0.778	0.778	0.954	0.477	0.778	0.845	0.778	0.778	0.699	0.778	0.954	0.778	0.778	0.903	
GLT8D1	0.699		0.778	0.699	0.477	0.301	0.602	0.477	0.845	0.954	0.778	0.602	0.778	0.845	0.477	0.845	0.903	0.602	0.477	0.602	0.602		0.778	0.845	0.699	0.903	0.602	0.301	0.301	0.477	0.000		0.778	0.845	0.477	0.778	0.602	0.477	0.301	0.845	0.903	0.301	0.778	0.699	
GNAI1		0.000		0.301	0.301	0.301	0.477	0.477	0.301			0.301			0.477			0.000				0.000	0.000				0.477		0.477		0.301					0.000		0.000	0.477		0.000		0.301	0.000	
GNPTAB	0.778	0.699	0.699	1.322	0.699	0.301	0.954	1.230	1.146	0.954	0.699	0.602	0.778	0.778		0.954	0.954	0.602		1.230	0.954	0.301	1.176	1.079	0.477	0.845	0.602	0.301		0.477	0.602	0.000	0.903	1.146	0.000	1.000	0.845	0.477	1.000	0.301	0.845	0.602	0.903	1.079	
GNS	1.491	1.322	1.279	1.505	1.477	1.362	1.531	1.398	1.342	1.477	1.362	1.322	1.431	1.362	1.176	1.362	1.447	1.447	1.544	1.519	1.279	1.301	1.322	1.380	1.255	1.322	1.477	1.556	1.079	1.505	1.556	1.342	1.556	1.591	1.398	1.380	1.431	1.447	1.230	1.380	1.462	1.279	1.255	1.519	
GOLM1	0.699	0.845	1.000	1.079	0.954	0.903	0.778	1.079	0.778	1.079	0.903	1.000	1.041	1.041	1.000	1.041	0.903	0.699	0.845	1.000	1.041	0.845	1.079	0.903	0.954	0.954	1.079	0.845	0.699	0.954	0.954	0.778	0.954	1.000	0.477	0.903	1.041	0.699	0.954	0.903	0.954	0.845	0.903	1.079	
GP5								0.477	0.301							0.301																													
GPC3					0.000					0.845																																			
GPI	0.301	0.699			0.954	0.778												0.477	0.477			0.699					0.301		0.602	0.477	0.477			0.602		0.602	0.477	0.602	0.000	0.301	0.000		0.000	0.699	
GPLD1	0.477			0.301	0.000			0.000	0.301	0.301		0.602	0.000	0.301		0.477	0.477	0.477	0.301	0.000	0.301		0.602		0.000		0.000	0.301		0.301	0.000	0.477				0.000	0.477	0.000		0.477	0.000				
GPNMB	1.041	0.602	1.380	1.857	1.079	1.505	1.886	1.813	1.556	1.681	1.447	1.690	1.672	1.633	1.690	1.556	1.806	1.279	0.903	1.869	1.477	0.477	1.845	1.643	1.342	1.544	1.724	1.146	1.362	0.845	1.279	0.778	1.973	1.505	1.079	1.079	0.845	1.000	0.699	1.491	1.724	1.477	1.491	1.613	
GPR107	0.477	0.000	0.602	0.903	0.602	0.477	0.301	0.699	0.477	0.778	0.301	0.778	0.477	0.477	0.699	0.602	0.699	0.602	0.000	0.602	0.602	0.000	0.845	0.301	0.301	0.477	0.301		0.477	0.301	0.477	0.301	0.477	0.778	0.000	0.301	0.477	0.699	0.000	0.477	0.699	0.477	0.301	0.699	
GRIK3				0.000												0.301				0.301	0.477	0.000																							
GRN		0.477	0.477	0.477	0.602	0.301	0.778	0.778	0.477	0.602	0.477	0.699	0.000	0.778		0.778	0.699			0.477	0.699	0.477	0.477	0.477	0.602	0.477	0.301	0.477		0.477			0.477	0.477		0.301	0.000	0.477	0.477	0.301	0.602	0.477	0.477	0.778	
GSN		0.602			0.602	0.477												0.477	0.301			0.477							0.699	0.477	0.477			0.477		0.477	0.699	0.477	0.845	0.602			1.079	0.000	
GSTP1	0.903	1.362		0.000	1.431	1.279	0.477	0.301				0.301					0.000	1.279	0.699		0.301	0.903	0.000					0.301	0.845	1.301	1.342	0.000		1.279		1.176	1.362	0.845	1.176	0.778	0.301		1.301	1.204	
GUSB	0.699	0.778	1.000	0.954	0.699	0.699	0.845	0.778	0.602	0.903	0.477	0.778	0.778	0.778	0.699	0.778	0.954	0.778	0.845	0.778	0.845	0.699	1.146	0.778	0.778	0.602	0.903	0.699	0.477	0.602	0.602	0.602	0.699	1.079	0.699	0.778	0.699	0.778	0.301	0.602	0.903	0.602	0.699	0.602	
GXYLT1	1.079	1.000	1.146	1.230	1.041	1.000	1.114	1.114	0.954	0.954	0.903	1.079	1.041	1.114	1.000	1.041	1.230	1.114	1.114	1.041	1.146	0.954	1.041	0.954	0.845	0.954	0.903	0.954	0.903	0.954	1.079	0.699	0.699	1.146	1.000	0.954	1.079	1.000	0.699	1.114	1.079	0.477	0.778	1.079	
H1F0						0.000												0.000				0.000							0.301	0.000		0.000					0.000		0.000				0.699		
H2AFV	0.000	0.301	0.000	0.477	0.301	0.301	0.477	0.301			0.301							0.477	0.301	0.000	0.301	0.602	0.000					0.000	0.602	0.477	0.602	0.000	0.301	0.778		0.301	0.477	0.477	0.477	0.301	0.477		0.845	0.301	
H2AFY		0.301			0.000	0.301																0.301		0.000					0.000		0.301			0.000		0.845	0.000		0.778				0.602	0.301	
H2BFS	1.380	1.279	0.903	1.176	1.447	1.505	1.255	1.114	1.041	1.041	1.041	1.079	0.954	0.845	1.041	1.041	1.041	1.462	1.342	1.000	1.114	1.431	1.079	1.000	0.845	0.845	1.176	1.255	1.431	1.491	1.519	1.176	0.903	1.477	1.114	1.556	1.491	1.398	1.342	1.301	1.322	0.903	1.531	1.362	
H6PD	0.477	0.477	0.778	0.477	0.477	0.477	0.602	0.477	0.602	0.699	0.602	0.477	0.477	0.699	0.477	0.477	0.000	0.477	0.477	1.000	0.699	0.477	0.301	0.602	0.477	0.602	0.778	0.602	0.477	0.477	0.477	0.477	0.699	0.699	0.477	0.477	0.477	0.477	0.477	0.699	0.699	0.477	0.477	0.477	
HADHA			0.000		0.301																									0.000	0.301					0.000									
HAPLN1	0.477	0.477	0.602	0.778	0.000	0.477	0.778	0.845	0.477	1.000	0.000	0.778	0.845	0.903	0.778	0.778	0.845	0.477	0.477	0.301	0.845	0.000	0.778	0.477	0.301	0.778	0.602		0.301	0.778	0.954		0.000	0.699	0.477	0.602	0.778	0.778		0.845	0.778	0.477		0.602	
HBA1	1.398	1.672	1.114	1.491	1.613	1.806	1.708	1.602	1.681	1.255	1.204	2.009	1.079	1.255	1.362	1.663	1.447	1.663	1.431	1.322	1.431	1.716	1.623	1.230	1.176	1.342	1.462	1.653	1.996	1.568	1.857	1.477	1.176	1.623	1.477	1.690	1.623	1.716	1.591	1.462	1.613	1.653	1.924	1.623	
HBB	1.763	1.863	1.447	1.771	1.898	1.968	1.851	1.771	1.845	1.531	1.544	2.090	1.322	1.322	1.505	1.799	1.580	1.934	1.799	1.681	1.505	1.929	1.785	1.398	1.415	1.505	1.681	1.881	2.114	1.863	2.017	1.653	1.447	1.833	1.681	1.851	1.826	1.892	1.806	1.763	1.748	1.851	2.140	1.820	
HBD	1.556	1.699	1.322	1.531	1.724	1.778	1.643	1.556	1.681	1.342	1.398	1.919	1.176	1.230	1.362	1.643	1.342	1.748	1.613	1.519	1.322	1.763	1.613	1.230	1.301	1.380	1.462	1.643	1.934	1.708	1.903	1.447	1.322	1.643	1.531	1.663	1.681	1.740	1.672	1.580	1.531	1.623	1.944	1.672	
HDGF		0.477																				0.301							0.000		0.477								0.301				0.000		
HEG1	0.000	0.602	0.301	0.000	0.699	0.301	0.000		0.000	0.778		0.477	0.699	0.778	0.778	0.778		0.602		0.477		0.301	0.000	0.000		0.000	0.602	0.477	0.301	0.602	0.301	0.477			0.477	0.699	0.477	0.778		0.477		0.000	0.301	0.699	
HEXB	0.477	0.477	0.602	1.114	0.477	0.954	0.954	1.114	1.079	0.845	0.954	0.903	0.903	0.301	0.699	0.778	1.230	0.477	0.477	1.362	0.000	0.000	1.079	1.079	0.845	0.903	1.041	0.778	0.778	0.477	0.477	0.477	1.204	0.845	0.699	0.477	0.477	0.778		0.845	1.041	0.845	1.301	1.146	
HGSNAT	0.301	0.699	0.699	0.903	0.778	0.602	0.778	0.699	0.602	0.699	0.602	0.903	0.602	0.778	0.602	0.903	0.699	0.477	0.000	0.778	0.602		1.000	0.778	0.778	0.000	0.477	0.000	0.477	0.477	0.778	0.602	0.699	0.845	0.301	0.477	0.602	0.301	0.301	0.699	0.602	0.477	0.477	0.778	
HIST1H1B	0.699				0.778	0.778	0.477				0.301				0.301			0.602	0.699	0.000		0.954					0.000	0.778	0.699	0.477	0.903	0.699	0.000	0.778	0.477	0.778	0.903	0.778	0.903	0.477	0.477		1.041	0.477	
HIST1H1E	0.903	0.845			1.114	1.255	0.699				0.301				0.477			0.903	0.903	0.000	0.000	1.000					0.000	1.114	1.079	0.903	1.079	0.903	0.000	1.279	0.699	1.041	1.041	1.079	1.041	0.903	0.477		1.146	0.903	
HIST1H2AA	0.602	1.000	0.000	0.903	0.903	1.415	1.114	0.778	0.602	0.477	0.477	0.602	0.301	0.301	0.778	0.477	0.477	1.000	0.778	0.903	0.477	0.845	0.778	0.477	0.000	0.301	0.954	0.699	1.000	0.477	1.000	0.301	0.699	0.699	0.602	1.041	0.954	1.146	0.778	0.778	1.114	0.477	1.146	1.114	
HIST1H2BB	1.342	1.255	0.301	0.954	1.491	1.477	1.079	0.845	0.845	0.602	0.699	0.778	0.477	0.000	0.778	0.699	0.778	1.431	1.279	0.903	1.000	1.362	0.778	0.602	0.000	0.000	1.000	1.204	1.398	1.491	1.505	1.176	0.301	1.431	0.954	1.544	1.505	1.415	1.342	1.176	1.176	0.301	1.491	1.230	
HIST1H3D	0.845	1.041	0.699	1.146	0.954	1.380	1.146	0.954	0.778	0.699	0.845	0.845	0.477	0.477	0.954	0.477	0.778	1.079	0.903	0.954	0.602	0.845	1.079	0.778	0.000	0.477	1.041	0.778	1.204	0.699	1.204	0.301	0.903	0.845	0.699	1.176	1.114	1.146	0.778	0.903	1.279	0.602	1.279	1.204	
HIST1H4A	1.477	1.431	1.176	1.146	1.462	1.491	1.342	1.079	1.230	1.079	1.176	1.114	0.954	0.699	1.230	0.845	1.079	1.580	1.415	1.204	1.230	1.672	1.255	1.114	1.114	1.079	1.301	1.415	1.462	1.491	1.519	1.431	1.176	1.544	1.380	1.519	1.531	1.505	1.477	1.398	1.255	1.114	1.531	1.431	
HLA-A	0.845	1.146	1.176	1.643	1.415	1.301	1.415	1.322	1.380	1.505	1.398	1.322	1.531	1.255	1.255	1.556	1.255	1.114	0.954	1.362	1.230	0.477	1.568	1.447	0.954	1.230	1.342	1.146	1.176	1.342	1.362	1.041	1.255	1.301	1.362	1.255	1.322	1.079	0.778	1.556	1.505	1.491	1.255	1.505	
HLA-B	0.954	0.778	0.903	1.146	0.778	1.000	1.114	1.176	0.954	1.398	1.568	0.954	1.362	0.903	1.204	1.000	1.000	0.699	0.699	1.204	1.000	0.699	1.462	0.845	0.699	1.041	1.114	1.000	1.041	1.000	1.041	0.845	1.041	1.114	1.114	1.041	0.778	0.954	0.602	1.146	1.431	1.279	0.954	1.041	
HLA-C	1.531	1.279	1.279	1.613	1.477	1.568	1.505	1.580	1.477	1.568	1.602	1.342	1.591	1.380	1.477	1.380	1.531	1.415	1.431	1.653	1.732	1.255	1.531	1.204	1.176	1.204	1.531	1.301	1.491	1.447	1.477	1.342	1.398	1.491	1.380	1.613	1.279	1.342	1.041	1.568	1.748	1.568	1.447	1.491	
HLA-DQA1	0.602	0.778	1.114	0.845	0.778	0.903	0.903	0.699	1.204	1.041	0.778	0.602	0.954	0.845	0.778	0.954	0.602	0.699	0.477	1.322	1.114	1.000	0.903	1.041	0.699	1.114	1.279	0.699	0.778	0.845	1.000	0.954	1.398	0.602	0.954	0.845	0.602	0.699	0.903	1.230	1.079	0.954	1.146	0.778	
HLA-DRA	1.462	1.322	1.491	1.580	1.462	1.519	1.415	1.556	1.580	1.477	1.519	1.477	1.519	1.519	1.342	1.519	1.505	1.255	1.279	1.623	1.613	1.079	1.491	1.398	1.398	1.519	1.643	1.447	1.447	1.556	1.724	1.114	1.732	1.204	1.580	1.531	1.491	1.230	1.204	1.544	1.799	1.462	1.362	1.591	
HLA-DRB1	0.954	0.903	1.204	1.204	1.146	0.778	0.954	1.398	0.602	1.176	0.699	1.204	0.903	1.176	0.778	1.301	1.079	0.954	1.000	0.903	1.079	0.954	1.000	0.477	0.699	1.230	0.602	1.204	0.477	1.176	1.114	0.903	1.362	0.954	0.954	1.176	0.845	1.114	0.477	1.204	1.230	1.176	0.602	1.230	
HLA-DRB5	0.845	1.079	1.176	1.000	1.041	1.204	0.903	1.279	1.114	0.903	0.778	1.114	1.000	1.342	0.845	1.342	1.000	1.114	0.845	1.176	0.699	0.845	0.699	0.602	0.477	1.301		1.041	0.954	1.255	1.204	0.903	1.447	0.845	0.903	1.146	0.845	0.903	0.699	1.146	1.204	1.146	0.954	1.230	
HLA-E	0.477	0.301	0.699	1.146	0.477	0.778	0.602	0.954	0.778	1.000	1.000	0.477	0.903	0.778	0.954	0.602	0.699		0.000	0.954	0.477	0.000	0.845	0.602	0.301	0.699	0.845	0.699	0.845	0.000	0.845	0.301	0.602	0.602		0.301	0.845	0.699		1.041	0.699	0.954	0.602	1.000	
HMCN1	0.477	0.602	0.477	1.279	0.301	1.114	1.041	0.602	0.000	1.079		0.845	0.699	0.477	0.845	0.301	0.903	0.477	0.000	1.041	0.477	0.301	1.146	0.845	0.301	0.699	0.602	0.301	0.778	0.602				0.602	0.778	0.699	0.602	0.000		0.845	0.778		0.602		
HMGB1		0.699			0.602	0.477	0.301											1.000				0.000	0.000						0.301	0.845	0.778			0.602	0.000	0.301	0.301	1.000	0.477				0.903	0.477	
HMGB2				0.477												0.477							0.477								0.000												0.000		
HNRNPA1	0.903	1.204		0.699	1.322	1.230	0.602	0.477		0.477	0.602	0.477	0.699		0.301	0.602	0.301	1.279	0.845		0.477	0.903	0.699	0.000	0.000	0.000	0.000	0.845	1.176	1.204	1.342	0.602	0.301	1.204	0.602	1.255	1.279	1.114	0.903	1.041	0.602	0.699	1.279	1.255	
HNRNPA2B1	0.845	0.903		0.699	1.146	1.301	0.000	0.699		0.477	0.000	0.699	0.477			0.301	0.301	1.342	0.602		0.477	1.079	0.602		0.000	0.000	0.477	0.845	1.114	1.255	1.204	0.699	0.000	1.146	0.477	1.079	1.176	1.079	0.477	1.041	0.903	0.000	1.301	1.230	
HNRNPA3	0.477	1.079		0.477	0.778	1.000	0.000									0.000		1.204	0.477			0.301	0.477						1.176	1.079	1.176	0.602		1.041	0.301	0.903	1.041	0.903	0.477	0.602			1.146	0.903	
HNRNPAB					0.000													0.477													0.301					0.301			0.301						
HNRNPC					0.903	0.602												0.602				0.699							0.477		0.477			0.778		0.778	0.778	0.000	0.301	0.000			0.699	0.301	
HNRNPD	0.778	0.699			0.000													0.778	0.301			0.477						0.000	0.477	0.699	0.778	0.301		0.477	0.000	0.301	0.602	0.778	0.301	0.602			0.477		
HNRNPH1	0.301	0.602			0.778	0.301												0.903				0.477							0.477	0.477	0.845			0.477		0.954	0.699	0.699	0.000				0.699	0.477	
HNRNPK	0.301	0.778		0.477	0.845	1.079	0.000				0.000							0.778	0.000	0.301		0.903					0.000	0.301	0.699	0.301	0.699	0.000		1.041		1.041	0.845	0.845	0.845	0.301	0.477		1.322	0.903	
HNRNPL					0.000													0.000				0.000									0.000			0.477		0.000	0.000	0.477							
HNRNPM		0.000			0.000													0.477																		0.301							0.000		
HNRNPR						0.000																												0.000			0.000						0.301		
HNRNPU		0.602	0.000		0.699	1.000												0.301				0.000							0.000		0.000			0.477		0.000	0.477	0.000					0.903		
HP	2.196	2.146	2.049	2.332	2.100	2.210	2.375	2.358	2.318	2.104	2.155	2.447	2.258	2.236	2.270	2.238	2.360	2.161	2.190	2.182	2.117	2.137	2.158	2.377	2.093	2.093	2.286	2.253	2.223	2.017	2.025	2.220	2.009	2.127	2.274	2.083	2.276	2.057	2.017	2.212	2.367	2.025	2.272	2.228	
HPSE			0.301	0.845			0.301	1.041	0.301			0.000				0.602	0.477			0.477	0.301		0.699			0.000	0.477															0.301	0.000	0.602	
HPX	1.898	1.568	1.477	1.708	1.633	1.732	1.748	1.763	1.519	1.732	1.681	1.857	1.826	1.740	1.845	1.716	1.708	1.544	1.845	1.519	1.851	1.477	1.623	1.690	1.653	1.580	1.672	1.602	1.813	1.602	1.623	1.633	1.491	1.763	1.690	1.623	1.716	1.580	1.398	1.857	1.898	1.505	1.663	1.708	
HRG	1.398	0.845	1.146	1.477	1.204	1.568	1.380	1.531	1.342	1.431	1.398	1.643	1.623	1.380	1.732	1.415	1.568	1.204	1.362	1.477	1.255	0.699	1.531	1.447	1.255	1.342	1.653	1.041	1.519	1.279	1.114	1.114	1.279	1.362	1.362	1.230	1.176	0.954	0.699	1.591	1.491	1.322	1.279	1.491	
HSD11B1	0.000						0.301													0.477															0.477										
HSP90AA1	1.114	1.230	0.000	0.903	1.580	1.230		0.477	0.477		0.699				0.699	0.301		1.447	1.230	0.477		1.491	0.000	0.477	0.477	0.301		1.000	1.447	1.230	1.531	1.230	0.477	1.491	0.000	1.491	1.477	1.380	1.431	0.845	0.301	0.477	1.643	1.342	
HSP90AB1	0.954	1.114		0.954	1.301	1.301	0.301	0.301	0.477		0.602	0.000	0.903	0.301	0.602	0.301		1.362	0.954	0.477	0.301	1.519	0.699	0.699	0.477	0.477	0.301	1.114	1.204	1.279	1.447	1.204	0.477	1.505	0.699	1.431	1.415	1.415	1.431	1.204	0.699	0.477	1.785	1.114	
HSP90B1	1.792	1.756	1.903	1.886	1.806	1.944	1.892	1.924	1.886	2.033	1.924	1.806	1.978	1.886	1.792	1.851	1.898	1.919	1.763	1.919	1.881	1.623	1.881	1.944	1.833	1.799	1.771	1.544	1.785	1.708	1.820	1.544	1.892	2.114	1.623	1.806	1.792	1.708	1.591	1.954	1.954	1.833	1.973	1.929	
HSPA13	0.699	0.699	0.778	0.602	0.477	0.301	0.602	0.778	0.602	0.778	0.477	0.477	0.778	0.778	0.778	0.602	0.778	0.778	0.477	0.477	0.778	0.602	0.477	0.477	0.477	0.477	0.778	0.778	0.602	0.699	0.477	0.477	0.477	0.903	0.477	0.477	0.699	0.602	0.477	0.845	0.602	0.477	0.477	0.602	
HSPA1A	0.845	1.114			1.342	1.342	0.602		0.000		0.000							1.380	0.954	0.301	0.000	1.079	0.000				0.000	0.954	1.230	1.362	1.653	0.602		1.230		1.431	1.531	1.447	1.279	1.000	0.000		1.519	0.845	
HSPA5	0.903	0.845			1.079	1.114	0.000	0.000			0.301							1.146	0.301			1.079	0.000				0.000	0.301	1.079	1.146	1.230	0.477		1.415		1.279	1.301	0.954	0.699	0.301	0.000		1.415	0.699	
