Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
SIGLEC7	0.000	0.301	0.301	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.000		0.301	0.000		0.301			0.000			0.301	0.477	0.000	0.301	0.000	0.000	0.000	0.000	0.000			0.000			0.000	0.301	
SIRPA	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	
SLAMF7	0.301				0.000																															0.000				0.000					
SLC11A2				0.301	0.000			0.000		0.000				0.000	0.301					0.000			0.000	0.000															0.000		0.000				
SLC15A2	0.301	0.301		0.000	0.301	0.301		0.000	0.301		0.000		0.301	0.000	0.000	0.301	0.000	0.301	0.000	0.301	0.301		0.000										0.000			0.000					0.301			0.000	
SLC25A3						0.000												0.301													0.000			0.000		0.000	0.000	0.000	0.000	0.000			0.301	0.000	
SLC25A5	0.000	0.477			0.477	0.602									0.000			0.477	0.301			0.845						0.000	0.477	0.477	0.602	0.301		0.301		0.477	0.477	0.477	0.602	0.301			0.477	0.477	
SLC2A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
SLC39A14	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.301		0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	
SLC39A6	0.301	0.301	0.301	0.602	0.477	0.477	0.477	0.602	0.301	0.477	0.301	0.602	0.602	0.301	0.477	0.301	0.602	0.000	0.477	0.477	0.301	0.477	0.699	0.602	0.301	0.477	0.477	0.477	0.000	0.301	0.301	0.477	0.301	0.477	0.477	0.301	0.477	0.477		0.477	0.602	0.301	0.000	0.602	
SLC3A2	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.602	0.477	0.301	0.301	0.477	0.301	0.477	0.301	0.301	0.301	0.477	0.477	0.000	0.477	0.477	0.301	0.301	0.477	0.301	0.477	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.000	0.477	0.301	0.477	0.477	0.301	
SLC44A2	0.602	0.602	0.602	0.778	0.699	0.602	0.699	0.778	0.602	0.699	0.602	0.602	0.699	0.602	0.699	0.602	0.699	0.602	0.602	0.602	0.602	0.602	0.699	0.602	0.602	0.602	0.602	0.699	0.602	0.602	0.602	0.602	0.602	0.699	0.602	0.602	0.602	0.602	0.602	0.699	0.699	0.602	0.602	0.602	
SLC44A4	0.000			0.000			0.000	0.000		0.000	0.000			0.000		0.000	0.000		0.000		0.000			0.000	0.000		0.000			0.000	0.000		0.000	0.301		0.000	0.000			0.000	0.000			0.000	
SMPDL3B	0.000	0.000	0.000	0.301	0.000	0.301	0.301	0.000	0.000	0.000	0.000		0.477	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.477	0.000	0.301	0.000	0.000	0.000	0.477	0.000	0.000		0.000		0.000	0.301		0.477	0.000	0.000		0.301	0.301	0.000	0.000	0.477	
SOD2																															0.778	0.000													
SORL1	1.000	0.954	0.954	1.114	1.041	1.041	1.114	1.204	1.041	1.041	0.954	0.903	1.114	1.000	0.954	1.041	1.041	1.000	0.954	1.000	1.000	0.845	1.041	0.954	1.000	1.000	0.903	0.954	0.845	1.000	1.114	0.903	0.954	1.114	0.954	1.000	1.041	0.954	0.903	1.114	1.114	0.954	0.903	1.146	
SORT1	0.477	0.477	0.699	0.602	0.845	0.602	0.602	0.699	0.602	0.778	0.699	0.602	0.699	0.699	0.602	0.699	0.778	0.845	0.699	0.477	0.699	0.477	0.602	0.602	0.699	0.477	0.778	0.602	0.602	0.699	0.699	0.602	0.602	0.845	0.602	0.602	0.602	0.699	0.477	0.699	0.699	0.699	0.602	0.778	
SOSTDC1																	0.301																												
SPARCL1	0.000	0.000		0.301	0.000	0.301	0.000	0.301		0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000		0.000		0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000		0.301	0.000	0.000	0.000	0.000		0.000	0.301	0.301		0.301	
SPOCK2		0.000		0.000	0.000	0.000	0.301	0.000		0.000			0.000	0.301	0.000	0.301	0.477		0.000		0.301			0.000			0.301					0.301		0.301			0.000	0.301			0.000				
SPON1	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
SRP14					0.000	0.000																0.000							0.000		0.000					0.301	0.000						0.000		
SRSF3					0.301													0.000				0.000							0.000		0.000			0.000		0.301		0.301							
SSB		0.301			0.301	0.000	0.000											0.301													0.301			0.301		0.000	0.301	0.000	0.000					0.301	
SSR1	0.477	0.477	0.477	0.699	0.477	0.602	0.477	0.778	0.602	0.699	0.602	0.602	0.699	0.477	0.699	0.602	0.699	0.602	0.477	0.699	0.301	0.000	0.699	0.699	0.477	0.477	0.699	0.699	0.602	0.477	0.477	0.301	0.602	0.699	0.477	0.477	0.602	0.602	0.477	0.778	0.699	0.477	0.602	0.778	
SSR2	0.699	0.699	0.602	0.778	0.699	0.477	0.699	0.699	0.602	0.699	0.602	0.602	0.699	0.699	0.602	0.602	0.699	0.699	0.699	0.602	0.602	0.477	0.699	0.477	0.477	0.301	0.699	0.903	0.602	0.477	0.699	0.602	0.477	0.699	0.699	0.699	0.699	0.778	0.477	0.699	0.699	0.477	0.477	0.699	
ST14	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.301		0.301		0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000		0.301		0.301				0.301	0.301	0.000	0.000	0.301	0.000		0.301	0.000	0.000	0.000	0.301		0.301	0.301	0.000		0.301	
ST3GAL1	0.477	0.477	0.477	0.699	0.477		0.000	0.699	0.000	0.477	0.477	0.699	0.477	0.477	0.477	0.602	0.477	0.301			0.477	0.000	0.477	0.301	0.301	0.000	0.477		0.301	0.301	0.477	0.000		0.301	0.477	0.301	0.602	0.477	0.000	0.000	0.477	0.000	0.301	0.477	
ST3GAL6									0.301											0.301						0.000					0.000		0.301			0.000				0.000		0.000			
ST6GALNAC1											0.301									0.301	0.000				0.000																				
ST8SIA4																																												0.477	
STAB1	0.602	0.602	0.699	0.903	0.903	0.699	0.954	0.845	0.845	0.602	0.778	0.845	0.477	0.778	0.602	0.778	0.778	0.778	0.301	0.903	0.699	0.477	0.845	0.845	0.301	0.602	0.845	0.602	0.301	0.301	0.602	0.301	0.903	0.845	0.602	0.602	0.845	0.699	0.301	0.845	0.699	0.602	0.699	0.903	
STS			0.000	0.301	0.000	0.000	0.301	0.000	0.000				0.301		0.000	0.000	0.000			0.000	0.477		0.000	0.000	0.477	0.301	0.000				0.000		0.301	0.000							0.000	0.000		0.301	
STT3A	0.477	0.602	0.477	0.477	0.602	0.301	0.301	0.477	0.477	0.301	0.000	0.000	0.699	0.301	0.301	0.301	0.477	0.602	0.699	0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.301	0.778	0.301	0.477	0.602	0.301	0.000	0.477	0.699	0.602	0.602	0.477	0.000	0.301	0.301	0.301	0.301	0.301	
STT3B	0.699	0.699	0.301	0.301	0.778	0.301	0.477	0.602	0.301	0.602	0.301	0.477	0.602	0.477	0.602	0.301	0.602	0.602	0.602	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.602	0.477	0.301	0.602	0.477	0.301	0.602	0.477	0.699	0.778	0.602	0.301	0.477	0.301	0.301	0.301	0.699	
SULF1	0.477	0.301	0.477	0.602	0.301	0.477	0.477	0.477	0.602	0.699	0.301	0.602	0.602	0.477	0.477	0.477	0.602	0.301	0.000	0.602	0.301	0.301	0.602	0.301	0.000	0.602	0.602	0.301	0.477	0.301	0.301	0.000	0.301	0.000	0.301	0.477	0.000	0.477	0.301	0.477	0.602	0.301	0.602	0.602	
SULF2		0.301	0.477	0.301		0.000	0.000	0.000	0.301	0.000		0.000	0.000		0.000		0.000			0.301			0.000	0.000	0.301	0.477	0.000	0.000	0.000	0.301	0.301		0.477		0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.301	0.477	0.000	
SUN1	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	
SUSD2	0.477	0.301	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.602	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.301	0.477	0.301	0.477	0.477	0.301	0.778	0.477	0.301	0.301	0.477	0.477	0.477	0.477	0.477	
SYPL1	0.301	0.301	0.000	0.477	0.301	0.477	0.477	0.477	0.000	0.477	0.477	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.000	0.301	0.477	0.301	0.301	0.477	0.301	0.301	0.602	0.301	0.301	0.301	0.301	0.000	0.477	0.301	0.000	0.000	0.477	
TACSTD2	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.602	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	
TAGLN					0.000	0.301																0.477						0.000	0.602	0.000							0.000	0.301	0.301		0.000		0.845	0.000	
TAGLN2			0.000		0.000	0.301												0.000				0.000							0.477		0.000						0.000			0.000			0.477		
TCTN3				0.000	0.000		0.000	0.000		0.000		0.000			0.000		0.000						0.000											0.301	0.301			0.000		0.000	0.000			0.000	
TENM3		0.000			0.000					0.000						0.000	0.301	0.000		0.000			0.000				0.000										0.000	0.000		0.000					
TENM4	0.000	0.000	0.301	0.301	0.000	0.301	0.477	0.477	0.301	0.477	0.602	0.477	0.477	0.477	0.602	0.602	0.602	0.000	0.000	0.477		0.000	0.477	0.477	0.301	0.477	0.000	0.000	0.301	0.000	0.000	0.000	0.477	0.301	0.301	0.301	0.000	0.301	0.000	0.477	0.477	0.477	0.301	0.301	
TF	0.845	0.602	0.477	0.778	1.000	1.114	0.845	0.477	0.699	0.778	0.778	0.845	0.699	0.778	0.699	0.845	0.845	1.041	0.903	0.778	0.903	0.778	0.778	0.845	0.778	0.477	0.602	0.602	1.114	0.845	0.602	0.903	0.699	0.845	0.699	0.778	0.903	0.954	0.602	0.903	0.903	0.602	1.176	0.778	
TFPI2				0.000	0.000					0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000			0.000					0.000	0.000									0.000						0.000		0.000	
TFRC	0.602	0.602	0.602	0.845	0.845	0.699	0.602	0.845	0.602	0.699	0.602	0.602	0.602	0.845	0.602	0.778	0.602	0.602	0.602	0.699	0.699	0.699	0.778	0.602	0.602	0.602	0.602	0.699	0.477	0.602	0.699	0.602	0.602	0.699	0.699	0.778	0.602	0.699	0.602	0.699	0.602	0.602	0.602	0.699	
TGFB1								0.000		0.000		0.000	0.000			0.000	0.000			0.000			0.000				0.000		0.000					0.000							0.000	0.000		0.000	
TGFB3	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.301	0.301		0.000	0.301	0.000	0.301	0.000	0.000			0.301	0.000	0.000	0.000	0.301			0.000	0.000	0.000	0.000	0.000			0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	
TGFBI	0.000					0.000					0.000							0.000						0.000					0.778	0.000						0.301	0.000						0.301		
TGOLN2									0.000	0.000	0.000	0.000	0.000	0.000	0.301		0.000				0.000		0.000	0.000		0.000	0.000			0.000				0.000	0.000	0.000		0.000				0.000		0.301	
THBS1	0.477	0.699	0.954	0.699	0.699	0.699	0.778	0.778	0.778	1.000	0.602	0.954	0.845	0.845	0.778	0.778	0.845	0.602	0.477	0.477	0.602	0.602	0.699	0.845	0.699	0.845	0.778	0.845	0.954	0.602	0.477	0.477	0.699	0.602	0.699	0.699	0.778	0.778	0.301	0.903	0.778	0.602	0.845	0.903	
THBS2	0.477	0.602	0.602	0.301	0.602	0.301	0.477	0.602	0.477	0.699	0.477	0.602	0.602	0.477	0.602	0.477	0.602	0.602	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.602	0.301	0.602	0.699	0.477	0.000	0.301	0.000	0.301	0.602	0.602	0.602	0.602	0.000	0.699	0.477	0.602	0.301	0.602	
THSD4	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301		0.000		0.301		0.000	0.000	0.000	0.000	0.000	
THY1	0.699	0.845	0.903	0.778	0.903	0.845	0.903	0.845	0.845	0.903	0.699	0.845	0.903	0.903	0.845	0.903	0.954	0.778	0.602	0.845	0.602	0.602	0.903	0.845	0.778	0.778	0.602	0.778	0.699	0.778	0.699	0.301	0.699	0.699	0.602	0.602	0.477	0.845	0.602	0.845	0.903	0.778	0.778	0.903	
TINAGL1			0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.000	0.301			0.000	0.000			0.000	0.000	0.000	0.000		0.000				0.000	0.000		0.000				0.000	0.301	0.301	0.301	0.000	
TKT		0.301		0.000	0.602						0.000							0.477	0.000			0.000								0.602	0.602			0.301		0.602	0.000	0.477	0.301				0.301		
TLN1					0.000																													0.000		0.000	0.000						0.000		
TLR1	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000		0.000	0.000	0.000		0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301			0.000	0.000			
TLR2	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.477	0.301		0.000	0.477	0.477	0.301	0.477	0.000	0.477	0.301	0.301	0.477	0.301	0.477	0.000	0.301	0.477	0.301	0.000	0.477	0.477	0.602	0.301	0.301	0.301	0.301	0.301	0.477	0.477	
TLR3	0.602	0.699	0.477	0.602	0.699	0.699	0.699	0.699	0.602	0.602		0.477	0.602	0.477	0.778	0.602	0.778	0.699	0.477	0.778	0.699	0.477	0.778	0.602	0.602	0.301	0.778	0.477	0.301	0.602	0.699	0.000	0.903	0.699	0.477	0.699	0.602	0.602	0.301	0.699	0.602	0.301	0.699	0.778	
TLR8	0.602	0.301		0.000	0.602	0.000			0.477	0.301	0.000	0.000	0.301	0.000		0.301		0.000	0.000	0.301	0.000	0.000	0.477	0.301		0.000		0.301	0.000	0.301	0.477	0.000			0.602	0.301	0.477	0.000		0.301	0.000		0.000	0.602	
TM2D3	0.301	0.301	0.301	0.000	0.301	0.000	0.477	0.000		0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.301		0.000		0.301	0.000	0.301	0.000	0.000	0.301	0.301		0.301	0.477	0.301	0.301	0.301	0.477		0.301	0.000		0.000	0.477	
TMCO3						0.000		0.301	0.000	0.000							0.000						0.000			0.000																			
TMED4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	
TMED9	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.301	
TMEM131	0.301	0.301	0.301	0.602	0.301	0.301	0.477	0.602	0.477	0.301	0.000	0.602	0.301	0.301	0.301	0.301	0.602	0.301	0.477	0.477	0.301	0.301	0.602	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.477	0.301	0.000	0.477	0.301	0.301	0.477	0.477	0.000	0.301	0.602	0.301	0.301	0.477	
TMEM132A	0.000	0.000		0.301	0.000		0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000		0.000	0.000	0.000	0.000		0.000	0.301			0.000	0.000		0.000	0.000		0.000	0.000	0.000		0.000		0.000	0.000	0.000	
TMEM2	0.301	0.477	0.602	0.301	0.477		0.477	0.477	0.602	0.602	0.301	0.477	0.301	0.477	0.301	0.301	0.602	0.699	0.477	0.602	0.301	0.000	0.477	0.000	0.000	0.602	0.477	0.301	0.000	0.477	0.301	0.000		0.301	0.477	0.699	0.602	0.477	0.477	0.301	0.477	0.000	0.602	0.602	
TMEM231	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.000		0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	
TMEM245	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	
TMEM248	0.000				0.000		0.000		0.000	0.301										0.000				0.000	0.000		0.000							0.000			0.301	0.000							
TMEM30B		0.000		0.477		0.000	0.000	0.602	0.000	0.000			0.000				0.301			0.000	0.301	0.000		0.301			0.000				0.000		0.000				0.000	0.301		0.000	0.000				
TMEM87A	0.301	0.301	0.602	0.477	0.477	0.301	0.301	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.000	0.477	0.477	0.301	0.301	0.000	0.000	0.477	0.301	0.000	0.301	0.477	0.301	0.477	0.301	0.477	0.000	0.000	0.477	0.301	0.301	0.301	0.301	0.000	0.602	0.477	0.301	0.301	0.477	
TMEM87B	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	
TMEM9	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	
TMTC4	0.000							0.000		0.000	0.301														0.301	0.000						0.000					0.000				0.000				
TMX3	0.000		0.301	0.000	0.301	0.000	0.000	0.301	0.000	0.000		0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.000		0.000	0.301	0.301			0.301		0.301		0.000	0.000	0.301		0.301	0.301	0.000	0.301	0.301		0.000	0.000	0.000		0.000	
TNC	0.699	0.699	1.114	1.041	0.845	0.954	1.204	1.041	1.079	1.146	1.000	1.114	1.041	1.079	1.041	1.041	1.230	1.000	0.699	1.041	0.954	0.778	1.146	1.000	0.845	1.204	1.000	0.903	1.322	0.699	0.778	0.602	0.903	0.903	0.903	0.778	0.903	1.000	0.903	1.079	1.079	1.079	1.114	1.114	
TNFRSF11B										0.301														0.000																					
TNFSF12				0.301			0.000	0.301				0.000	0.000	0.000							0.000			0.000			0.000								0.000							0.301			
TNXB	0.000		0.000				0.477		0.301		0.000						0.000			0.301	0.000		0.301	0.301	0.301				0.000				0.477							0.000	0.301	0.301	0.000		
TOR1AIP1	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000				0.301	0.000	0.000	0.301	0.000	0.000			0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000			0.301	0.301	0.000	0.000	0.301	0.000	0.000		0.301	
TOR1B	0.000	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.301	0.301	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.000	0.000	0.000	0.000	
TPBG	0.699	0.778	0.699	0.778	0.699	0.699	0.699	0.778	0.699	0.699	0.699	0.778	0.699	0.699	0.602	0.699	0.778	0.845	0.477	0.699	0.602	0.301	0.778	0.699	0.699	0.699	0.699	0.477	0.699	0.477	0.778	0.699	0.699	0.477	0.602	0.778	0.699	0.602	0.477	0.699	0.778	0.602	0.602	0.602	
TPI1	0.954	0.903	0.301	0.477	0.954	0.903	0.699	0.602	0.000		0.301	0.000			0.301	0.301	0.301	0.954	0.845	0.000	0.301	1.000	0.000		0.000	0.000	0.477	0.699	0.903	0.903	0.778	0.699	0.000	0.903	0.602	0.954	0.903	0.903	0.778	0.903	0.903	0.301	1.041	0.954	
TPM4		0.000			0.000	0.477												0.602				0.778		0.000					0.602	0.602	0.000			0.477		0.000	0.301	0.477	0.301	0.301	0.301		0.699	0.000	
TPP1	0.602	0.602	1.079	1.000	0.699	0.845	1.041	0.778	0.845	0.954	1.079	0.778	0.903	1.000	0.954	0.903	0.954	0.602	0.477	1.114	0.903	0.477	0.845	0.954	0.954	1.000	1.041	0.477	0.602	0.301	0.602	0.699	1.114	0.845	0.845	0.699	0.699	0.602	0.477	1.000	1.000	1.000	0.845	1.000	
TPSAB1						0.301	0.000		0.000	0.000			0.000	0.000			0.000			0.000				0.000	0.000	0.000	0.000						0.000							0.000	0.000	0.000	0.000		
TSPAN1	0.000	0.000	0.000	0.477	0.000	0.000	0.477	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301		0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	
TSPAN3	0.301	0.000	0.477	0.602	0.301	0.301	0.000	0.301	0.301	0.301	0.602	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	
TTC17	0.301	0.301		0.301	0.301		0.000	0.301	0.000	0.301	0.000		0.000	0.301	0.000	0.000	0.301	0.301	0.301	0.000	0.301	0.301		0.000		0.301	0.000			0.301	0.000	0.301		0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000			0.301	
TTR						0.301																							0.301																
TTYH3	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.301		0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.000	0.000	0.000		0.301	0.000	0.301				0.000	0.000	0.301	0.000		0.000	0.000	0.000		0.301	0.301		0.000	0.301	
TUBA1B	0.954	1.000	0.301	0.602	1.079	1.041	0.602	0.301	0.301		0.477	0.477			0.477	0.000	0.000	1.041	0.845	0.477	0.000	1.041	0.477			0.000	0.301	1.000	1.146	1.079	1.041	1.000	0.000	1.079	0.477	1.079	1.079	1.146	0.954	1.000	0.699	0.301	1.204	1.000	
TUBB	0.301	0.477	0.000	0.000	0.301	0.301	0.000		0.301		0.000	0.000			0.000	0.000		0.602	0.301	0.477		0.602	0.000		0.000	0.000	0.000	0.000	0.477	0.301	0.477	0.000	0.000	0.301		0.301	0.477	0.477	0.602	0.301	0.000	0.000	0.699	0.301	
TUBB4B		0.301			0.000						0.000							0.301													0.000					0.000		0.000					0.477	0.000	
TUFM																						0.000									0.477			0.000					0.301						
