Gene	A6-3807-01A-22	A6-3808-01A-22	A6-3810-01A-22	AA-3518-01A-11	AA-3525-01A-12	AA-3526-01A-11	AA-3529-01A-12	AA-3531-01A-22	AA-3534-01A-22	AA-3552-01A-22	AA-3554-01A-22	AA-3558-01A-22	AA-3561-01A-22	AA-3664-01A-22	AA-3666-01A-31	AA-3672-01A-22	AA-3684-01A-31	AA-3695-01A-22	AA-3710-01A-22	AA-3715-01A-22	AA-3818-01A-22	AA-3848-01A-22	AA-3864-01A-22	AA-3986-01A-12	AA-3989-01A-22	AA-A004-01A-22	AA-A00A-01A-22	AA-A00A-01A-41	AA-A00E-01A-31	AA-A00F-01A-31	AA-A00J-01A-12	AA-A00K-01A-12	AA-A00K-01A-31	AA-A00N-01A-32	AA-A00N-01A-41	AA-A00O-01A-13	AA-A00R-01A-22	AA-A00R-01A-31	AA-A00U-01A-41	AA-A010-01A-31	AA-A017-01A-22	AA-A01C-01A-22	AA-A01D-01A-23	AA-A01F-01A-23	AA-A01I-01A-12	AA-A01K-01A-31	AA-A01P-01A-23	AA-A01R-01A-23	AA-A01S-01A-23	AA-A01T-01A-23	AA-A01V-01A-24	AA-A01X-01A-23	AA-A01Z-01A-13	AA-A022-01A-23	AA-A024-01A-32	AA-A029-01A-41	AA-A02E-01A-23	AA-A02H-01A-32	AA-A02J-01A-23	AA-A02O-01A-23	AA-A02R-01A-23	AA-A02Y-01A-31	AA-A03F-01A-41	AA-A03J-01A-23	AF-2691-01A-41	AF-2692-01A-41	AF-3400-01A-41	AF-3913-01A-12	AG-3574-01A-22	AG-3580-01A-22	AG-3584-01A-22	AG-3593-01A-22	AG-3594-01A-12	AG-4007-01A-22	AG-A002-01A-23	AG-A008-01A-23	AG-A00C-01A-23	AG-A00H-01A-22	AG-A00H-01A-31	AG-A00Y-01A-12	AG-A011-01A-32	AG-A014-01A-12	AG-A015-01A-51	AG-A016-01A-23	AG-A01J-01A-22	AG-A01L-01A-22	AG-A01N-01A-23	AG-A01W-01A-23	AG-A01Y-01A-43	AG-A020-01A-23	AG-A026-01A-71	AG-A02N-01A-31	AG-A02X-01A-32	AG-A032-01A-31	AG-A036-01A-22
RPS7	0.778	0.903	0.477	0.699	0.845	0.301	0.845	0.602	0.699	0.778	0.699	0.778	1.114	0.602	0.903	0.778	0.602	0.699	1.176	0.602	0.778	0.845	1.041	0.778	0.699	0.602	0.602	0.778	0.845	0.778	0.954	0.602	0.602	0.477	0.699	1.041	0.903	0.845	0.602	0.602	0.845	0.778	0.477	0.845	0.699	0.602	0.778	1.000	0.602	0.602	0.699	0.845	0.477	0.903	0.778	0.903	0.602	0.699	0.699	0.699	0.602	0.699	0.699	0.845	0.903	0.778	0.778	0.477	0.699	0.903	0.699	0.778	0.778	0.845	0.699	0.778	0.903	0.699	0.699	0.699	0.845	1.000	0.778	0.845	0.699	0.699	0.301	0.477	0.778	0.778	0.602	0.954	0.778	0.778	0.699	
RPS8	1.000	0.778	1.000	0.954	1.000	1.041	1.079	1.000	0.903	0.903	1.041	0.903	1.079	0.903	1.114	1.041	1.000	0.903	1.114	0.954	0.954	1.079	1.114	0.954	1.114	1.041	1.041	0.903	1.041	1.079	0.954	0.954	0.845	0.903	1.079	1.041	1.000	1.041	1.000	0.954	1.000	1.041	0.954	1.000	1.079	1.041	0.954	1.079	1.000	1.000	1.114	1.000	0.778	0.954	0.903	1.079	1.000	0.954	1.000	0.903	1.000	1.041	1.041	0.954	1.114	1.041	0.954	0.954	0.903	1.079	1.041	1.000	1.000	0.954	0.954	0.903	1.000	1.000	1.000	1.041	1.000	1.079	1.000	0.954	1.041	0.903	0.903	0.954	0.845	0.903	1.000	0.954	0.699	1.000	0.903	
RPS9	0.903	0.845	0.903	0.845	0.903	0.778	1.041	0.845	0.903	0.954	0.845	1.000	1.041	0.903	0.954	0.954	0.903	0.845	1.000	0.845	1.000	1.041	1.041	0.903	1.041	0.954	1.000	0.903	1.000	0.954	1.000	0.845	0.778	0.778	0.000	1.079	0.903	1.041	1.041	0.903	1.079	0.954	0.845	0.954	0.903	0.954	0.903	1.114	0.845	0.778	1.000	1.041	0.602	0.954	0.903	0.954	0.954	0.954	0.778	1.000	0.845	1.000	0.903	1.114	0.954	0.954	0.903	0.845	0.954	1.000	0.903	0.903	0.954	1.000	0.903	0.903	0.954	0.845	0.903	0.845	1.146	1.114	0.954	1.000	0.903	0.954	0.778	0.954	0.903	0.845	1.000	1.000	0.954	0.903	0.954	
RPSA	0.954	0.954	1.041	1.000	1.000	1.041	1.000	1.041	1.000	1.000	1.114	1.079	0.954	1.000	1.079	1.041	1.000	0.954	1.041	0.954	1.000	1.000	1.114	0.903	1.079	1.041	1.114	0.954	1.000	1.146	0.903	0.954	0.778	0.903	0.954	1.041	1.079	1.176	1.079	0.954	0.954	1.041	0.954	1.000	1.114	1.041	1.041	1.041	1.079	1.079	1.079	0.903	0.903	0.903	0.954	1.000	0.903	0.954	1.041	1.041	1.079	1.000	0.954	0.954	0.903	0.903	0.954	1.000	0.954	1.041	1.000	0.845	1.000	0.903	1.041	0.954	0.954	1.041	1.000	1.000	0.954	0.954	0.954	0.903	1.041	0.954	1.000	0.954	0.954	0.954	0.954	0.954	0.845	0.954	0.954	
RPTN				0.000				0.000	0.000	0.000	0.000	0.000		0.000		0.000			0.000	0.301		0.000	0.301	0.000		0.000						0.000		0.000		0.000			0.000		0.000	0.000		0.000	0.000	0.000				0.301		0.000		0.000														0.000						0.000					0.000	0.000			0.000		0.000						0.000					
RPTOR						0.301	0.000	0.477			0.000			0.301		0.301			0.000						0.000							0.000				0.000			0.000		0.000			0.000		0.000		0.000	0.000	0.301	0.000	0.000	0.000		0.000						0.000	0.301		0.000	0.000	0.000				0.000				0.000		0.000				0.000	0.000	0.000	0.000	0.000			0.000			0.301						
RQCD1	0.477	0.000	0.301	0.477		0.301	0.301	0.000		0.000		0.301	0.477		0.000		0.477	0.477	0.301	0.477		0.477	0.301		0.301	0.000	0.000	0.000	0.477	0.000	0.301		0.000		0.000	0.301	0.000	0.000	0.000	0.000	0.301	0.477		0.602	0.000	0.301		0.778	0.000		0.301	0.000	0.000	0.000		0.602	0.477	0.301	0.000	0.602	0.477	0.602	0.477	0.301	0.477	0.699	0.000	0.000	0.000	0.000	0.301	0.301	0.477	0.301	0.000	0.301	0.477	0.000	0.477	0.602	0.000	0.602	0.477	0.301		0.000	0.301	0.301			0.301	0.477	0.000	0.602	0.477	
RRAGA	0.000					0.000								0.301	0.000				0.000					0.000			0.000	0.301								0.301	0.000	0.301	0.000		0.000		0.000				0.000	0.000						0.000			0.301					0.000							0.000									0.000			0.000	0.000			0.000		0.000									
RRAGC		0.000																	0.000	0.000					0.000	0.000		0.000			0.000			0.000		0.000	0.000				0.000			0.301				0.000		0.000				0.301	0.000	0.000							0.000	0.000		0.000	0.000	0.000	0.000		0.000		0.000	0.000					0.000		0.000								0.000			0.000			0.000	
RRAS	0.000	0.000	0.000	0.000		0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000		0.477	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.000		0.000		0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.301	0.000	0.778	0.477	0.000	0.000		0.000	0.477	
RRAS2	0.000								0.000						0.000	0.000	0.000					0.000	0.000		0.000	0.000			0.000		0.000			0.000	0.301		0.000	0.000	0.000		0.000		0.000						0.000							0.000					0.000		0.000							0.000	0.000		0.000		0.000	0.000		0.000	0.000	0.000	0.000						0.000	0.000	0.301		0.000	0.000		0.000	0.000	
RRBP1	1.591	1.230	1.505	1.477	1.301	1.505	1.519	1.398	1.431	1.462	1.447	1.380	1.505	1.447	1.613	1.301	1.519	1.477	1.623	1.176	1.462	1.544	1.544	1.477	1.602	1.602	1.447	1.431	1.623	1.415	1.491	1.491	1.301	1.544	1.556	1.580	1.531	1.462	1.447	1.531	1.643	1.653	1.415	1.462	1.633	1.477	1.477	1.580	1.556	1.613	1.519	1.519	1.041	1.462	1.477	1.613	1.531	1.477	1.431	1.431	1.544	1.556	1.544	1.477	1.580	1.519	1.544	1.556	1.415	1.477	1.519	1.519	1.602	1.505	1.462	1.380	1.462	1.491	1.653	1.602	1.580	1.580	1.568	1.477	1.462	1.362	1.398	1.447	1.491	1.415	1.491	1.380	1.380	1.477	1.531	
RREB1	0.000	0.000				0.000	0.000	0.301					0.000	0.000			0.000	0.000	0.000				0.000		0.000		0.000		0.301		0.000							0.000	0.000		0.477	0.301		0.000	0.000			0.699	0.301	0.301		0.000	0.000			0.000	0.000	0.000			0.000		0.000	0.477								0.000	0.000	0.000			0.000		0.301	0.000		0.000	0.000	0.000			0.000				0.000	0.301			0.000	
RRM1	0.301	0.301		0.301	0.000	0.301	0.301	0.602	0.000	0.000	0.301	0.602	0.602	0.954	0.301	0.954	0.301	0.477	0.699		0.000	0.602	0.954	0.000	0.778			0.000	0.477	0.000	0.602	0.000		0.301		0.000	0.301	1.000	0.778		0.301	0.602	0.301	0.301	0.000	0.477	0.000	0.699	0.778	0.301	0.477	0.602		0.000	0.000	0.477	0.000	0.301	0.602	0.602	0.602	0.602	0.477	0.477	0.000	0.699	0.000	0.000	0.845	0.301	0.602	0.301	0.477	0.000	0.699	0.301	0.000	0.000	0.602	0.602	0.000	0.301	0.301	0.699		0.301		0.000		0.301	0.477	0.602	0.000	0.301	0.000	
RRM2			0.000	0.602	0.000	0.477	0.000	0.602	0.301	0.000	0.301	0.602	0.477	0.699	0.000	0.699		0.477	0.477		0.000	0.699	0.602	0.477	0.778		0.477	0.000	0.778	0.000	0.602						0.301	0.699	0.699		0.301	0.000		0.699	0.477	0.301	0.301	0.778	0.602	0.602	0.477	0.477	0.000	0.000	0.301	0.000	0.000		0.477	0.778		0.477	0.000	0.477	0.000	0.699	0.477	0.477	0.000	0.477	0.602	0.699	0.301		0.301	0.699	0.477		0.301	0.602	0.301	0.477	0.000	0.477	0.301	0.301	0.477	0.477		0.602	0.000	0.301	0.000	0.477	0.477	
RRM2B															0.000			0.477								0.000		0.301			0.000					0.000	0.301	0.477									0.000		0.000					0.477						0.301	0.000					0.000			0.000												0.000															
RRP1	0.000		0.000		0.301	0.301	0.000	0.000		0.000	0.000	0.301	0.602	0.477	0.000	0.301		0.000	0.301		0.000	0.301	0.000	0.000	0.301		0.000	0.000	0.000	0.000	0.301	0.000			0.000	0.301		0.000	0.301		0.699	0.000		0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.000	0.301		0.301		0.000	0.000	0.301	0.000	0.000		0.000	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.477	0.000	0.000	0.000	0.000	0.602	0.000	0.602	0.000	0.301	0.000	0.000	0.301	0.000			0.477	0.301	0.000		0.000	
RRP12	0.699	0.301	0.000	0.699	0.778	0.301	1.000	0.699	0.301	0.699	0.778	1.000	1.000	1.000	0.903	0.778	0.301	0.602	0.903	0.000	0.477	1.079	1.146	0.477	1.000	0.000	0.778	0.602	0.778	0.845	1.000	0.000	0.000		0.477	0.301	0.602	1.000	1.079		1.114	0.477	0.301	0.954	0.778	0.954	0.000	1.146	1.041	0.602	0.845	0.845		0.954	0.602	0.845	0.301	0.845	0.954	0.845	0.778	0.477	0.602	1.079	0.602	0.699	0.301	0.477	0.954	1.000	0.477	0.699	0.000	0.845	0.903	0.903	0.778	0.778	0.602	0.954	0.954	0.954	0.845	0.000	0.699	0.602	0.602	0.778		0.477	0.903	0.699	0.301	0.845	0.301	
RRP15				0.000				0.000		0.000		0.000	0.000	0.000	0.000			0.000	0.000				0.000		0.000		0.000	0.000	0.000		0.000					0.000		0.000	0.000		0.000			0.000				0.000	0.000	0.000		0.000	0.000	0.000			0.301			0.000		0.477	0.000	0.477	0.000	0.000	0.000				0.000			0.000		0.000	0.000		0.000	0.301	0.000	0.000	0.000	0.000		0.000	0.000				0.000	0.301	0.000		0.000	
RRP1B				0.000	0.000	0.000	0.477	0.699			0.000	0.301	0.000		0.000	0.778		0.301	0.000			0.699	0.699		0.000		0.000	0.000	0.602		0.000							0.477	0.477		0.301				0.301			0.301	0.699	0.477		0.477				0.477		0.301	0.477	0.000			0.000	0.477	0.602	0.000			0.301	0.477		0.000	0.000		0.477		0.602		0.301	0.602	0.000	0.301	0.000				0.602				0.301			0.000		
RRP7A					0.000	0.000	0.301	0.000			0.000			0.000				0.477				0.000	0.000				0.301		0.000								0.000	0.000	0.477									0.000	0.000	0.000			0.000				0.000			0.301		0.000	0.000					0.000		0.301	0.000								0.000	0.477		0.000					0.000			0.000	0.000	0.000	0.000			
RRP8		0.000				0.000	0.301	0.000					0.301			0.301						0.301	0.000		0.000						0.000																0.000		0.000	0.000		0.000	0.000							0.000										0.000		0.000		0.000			0.000		0.000	0.000							0.301	0.000			0.000					
RRP9										0.000					0.301			0.477	0.000		0.000			0.301				0.000	0.000		0.301					0.301			0.477		0.301				0.000			0.000	0.000	0.000		0.000		0.301	0.000	0.000		0.000		0.000		0.477	0.000	0.301		0.602		0.000						0.000		0.477	0.000			0.477	0.000	0.301	0.000				0.301	0.301			0.301				0.000	
RRS1	0.301		0.000	0.301	0.301	0.301	0.301		0.301	0.301	0.000	0.477	0.699	0.602	0.301	0.301	0.000	0.778	0.602		0.000	0.477	0.477		0.477		0.301		0.602		0.477	0.000		0.000		0.000		0.602	0.699	0.000	0.602	0.301		0.699	0.699	0.477		0.602	0.699	0.000	0.301	0.602		0.000		0.699	0.477	0.477	0.602	0.602	0.000	0.301	0.301	0.778	0.699	0.000	0.000	0.477	0.477	0.301	0.301	0.477	0.301	0.602	0.000	0.602	0.699	0.000	0.602	0.602	0.301	0.778	0.602	0.301	0.000	0.301	0.477	0.477		0.477	0.477	0.477		0.000	0.301	
RSBN1				0.000																									0.000		0.000															0.000	0.000		0.000		0.000									0.000																																				
RSBN1L								0.000		0.000																															0.000			0.000										0.000																										0.000											0.000					
RSF1						0.000	0.000	0.301		0.000			0.000	0.000	0.000	0.000		0.301				0.301	0.000	0.301	0.301			0.477	0.000	0.000	0.000	0.000					0.000	0.301	0.000		0.000			0.000			0.000				0.000	0.000		0.301	0.301				0.000	0.000	0.000	0.000		0.000		0.000		0.301	0.000	0.000	0.000	0.000	0.000	0.477		0.301	0.301	0.000	0.000				0.000				0.477			0.000	0.000	0.000			0.301	
RSL1D1	0.845	0.845	0.699	1.041	0.903	0.845	0.954	0.954	0.602	1.079	0.954	1.079	1.114	1.000	0.699	1.000	0.778	1.041	1.146	0.301	0.699	1.079	1.146	0.778	1.146	0.903	0.903	0.903	0.954	1.041	1.041	0.602	0.301	0.301	0.301	1.000	0.903	1.079	1.079	0.602	1.176	1.041	0.903	1.041	0.903	1.000	0.602	1.114	1.114	0.602	0.903	1.146	0.602	0.903	0.845	1.079	1.000	1.000	0.903	0.903	1.000	0.954	1.041	1.114	0.954	1.000	0.778	0.954	0.845	1.041	1.114	1.041	0.778	0.903	0.903	1.079	1.041	0.845	0.954	0.903	1.041	1.176	1.146	0.954	0.903	0.845	1.041	0.954	0.301	0.845	1.000	1.079	0.602	1.000	1.041	
RSPRY1									0.000				0.000		0.000	0.000						0.000							0.301																							0.000		0.000	0.000	0.000			0.000			0.000												0.000									0.000								0.000					
RSU1	0.778	0.845	0.602	0.778	0.602	0.778	0.778	0.602	0.699	0.778	0.602	0.477	0.602	0.699	0.602	0.477	0.699	0.699	0.778	0.477	0.845	0.699	0.477	0.903	0.699	0.602	0.845	0.778	0.699	0.602	0.602	0.602	0.954	0.477	0.301	0.778	0.845	0.602	0.778	0.778	0.845	0.699	0.699	0.000	0.778	0.778	0.699	0.778	0.602	0.699	0.699	0.602	0.301	0.903	0.778	0.699	0.602	0.477	0.699	0.903	0.903	0.699	0.602	0.301	0.602	0.903	0.699	0.778	0.699	0.699	0.778	0.602	0.699	0.602	0.477	0.699	0.602	0.699	0.301	0.778	0.477	0.602	0.477	0.699	0.778	0.699	0.602	0.477	1.000	0.477	0.602	0.602	0.301	0.699	0.778	
RTCA	0.602	0.000	0.602	0.477	0.301	0.602	0.778	0.699	0.602	0.602	0.778	0.699	0.301	0.778	0.602	0.602	0.699	0.477	0.477	0.301	0.000	0.477	0.699	0.477	0.699	0.699	0.301	0.000	0.602	0.301	0.602	0.602	0.301	0.000	0.477	0.778	0.477	0.602	0.301	0.602	0.778	0.477	0.301	0.602	0.602	0.602	0.699	0.301	0.602	0.602	0.477	0.602	0.602	0.477	0.477	0.699	0.301	0.301	0.301	0.477	0.477	0.477	0.699	0.602	0.477	0.301	0.301	0.477	0.699	0.602	0.477	0.477	0.602	0.477	0.477	0.000	0.301	0.699	0.602	0.477	0.301	0.477	0.602	0.477	0.602	0.477	0.699	0.602	0.301	0.602	0.602	0.477	0.301	0.301	0.477	
RTCB	0.903	0.778	0.845	0.903	0.477	1.041	1.041	0.903	0.845	1.079	0.602	0.845	0.602	1.000	0.954	0.845	1.000	1.041	1.079	0.477	1.114	0.903	0.954	1.146	0.954	0.954	1.000	1.000	1.041	0.699	0.778	0.699	0.903	0.602	0.602	1.079	0.954	0.845	1.000	1.041	1.079	1.176	0.699	0.602	1.041	0.699	0.778	0.954	1.041	1.000	0.699	0.845	0.845	1.079	1.041	1.114	1.000	0.778	0.602	1.000	1.000	1.146	0.954	0.778	0.845	1.079	0.903	1.000	1.000	0.845	0.954	0.699	1.041	0.602	0.301	1.114	0.699	1.000	1.000	1.146	0.954	1.114	1.079	0.699	0.845	1.041	1.041	0.778	1.041	0.699	0.954	0.845	0.699	0.699	0.699	
RTF1			0.000	0.000				0.301		0.000				0.301		0.301		0.301											0.000	0.000	0.477					0.301					0.301			0.602	0.477			0.301	0.301	0.477		0.301				0.000	0.000					0.301	0.000	0.602	0.000		0.301	0.000	0.000								0.301		0.000	0.000		0.000	0.000	0.477		0.000	0.602	0.000		0.301	0.301	0.477			0.301	
RTFDC1			0.301	0.301	0.000								0.301		0.301	0.000	0.000	0.000	0.000			0.000	0.000			0.000			0.000		0.000		0.000			0.301	0.301		0.301		0.301	0.477	0.000	0.000			0.000	0.301	0.301	0.000		0.000				0.301	0.301	0.000		0.000		0.477	0.000	0.301	0.301	0.301		0.301		0.000	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.477	0.000	0.000	0.000	0.000	0.000			0.000		0.000	0.000	0.000	0.000	0.000		
RTKN			0.000		0.301		0.602	0.477		0.000	0.000		0.301	0.301	0.000	0.301		0.000	0.000			0.301	0.000	0.000	0.477		0.000		0.477		0.000	0.000				0.301			0.301		0.000	0.000			0.477	0.000		0.000		0.301		0.699			0.000	0.000	0.477			0.000		0.301	0.000			0.301		0.000		0.301	0.000	0.000	0.000		0.000		0.000		0.301	0.000	0.000	0.301	0.000	0.000			0.000	0.000			0.477			0.000	0.000	
RTN2						0.000		0.000			0.000																						0.000			0.000																										0.000				0.000					0.000								0.000	0.000									0.477			0.301				
RTN3	0.602	0.301	0.477		0.301	0.000	0.477		0.301	0.301	0.301	0.602	0.477	0.000	0.477	0.000	0.000	0.000	0.477		0.301	0.602	0.477	0.000	0.477	0.000	0.301	0.000	0.000	0.602			0.000	0.000		0.000	0.301	0.602	0.000	0.477	0.000	0.301	0.000		0.301	0.301	0.301	0.301	0.000		0.301	0.000		0.000	0.301	0.000	0.301	0.301	0.000	0.000	0.301	0.301			0.000	0.301	0.000	0.477	0.602	0.301		0.000	0.301		0.000	0.301	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.477		0.301		0.000	0.000	0.477	0.000		0.602		
RTN4	0.845	0.778	0.699	0.699	0.477	0.602	0.845	0.477	0.845	0.845	0.903	0.954	0.477	0.477	0.778	0.477	0.778	0.699	0.778	0.301	0.699	0.778	0.845	0.699	0.903	0.903	0.778	0.778	0.699	0.845	0.699	0.000	0.699	0.477		0.845	0.845	0.845	0.699	0.954	0.778	0.778	0.778	0.602	0.699	0.778	0.699	0.602	0.699	0.699	0.778	0.699	0.301	0.699	0.845	0.778	0.301	0.778	0.602	0.699	0.845	0.602	0.778	0.602	0.477	0.602	0.477	0.845	1.041	0.778	0.778	0.699	0.699	0.778	0.301	0.602	0.477	0.845	0.699	0.602	0.778	0.845	0.778	0.602	0.778	0.903	0.699	0.699	0.903	0.301	0.845	0.477	0.699	0.699	0.699	
RTN4IP1						0.000		0.000					0.000	0.000																								0.000			0.301	0.000								0.301																										0.000			0.000								0.477									
RUFY1	0.602		0.602	0.699	0.000	0.602	0.602	0.602	0.301	0.602	0.000	0.477	0.699	0.699	0.903	0.477	0.477	0.602	0.602	0.301	0.000	0.301	0.602	0.778	0.301	0.699	0.602	0.602	0.699	0.602	0.778	0.477	0.477	0.000	0.301	0.602	0.699	0.602	0.778	0.699	0.699	0.602		0.778	0.301	0.301	0.477	1.079	0.301	0.602	0.301	0.845	0.477	0.602	0.602	0.954	0.778			0.301	0.477	0.845	0.699	0.903	0.301	0.778	0.602	0.699	0.301	0.301	0.778	0.699	0.778	0.602	0.301	0.699	0.699	0.301	0.903	0.903	0.602	0.602	0.778	0.699	0.301	0.845	0.699		0.477	0.000	0.477	0.301		0.699	0.778	
RUFY3				0.000								0.000					0.000										0.000							0.000										0.301																						0.000			0.000								0.000							0.000												
RUVBL1	1.079	0.954	1.000	1.079	1.000	1.000	1.146	0.954	0.903	1.079	1.079	1.114	1.146	1.041	1.146	1.176	1.041	1.079	1.204	0.778	0.845	1.204	1.204	1.079	1.041	1.000	1.114	1.114	1.114	1.041	1.146	0.778	1.041	0.845	0.845	1.114	1.114	1.146	1.146	0.954	1.114	1.230	0.845	0.903	1.079	1.079	0.954	1.146	1.114	1.000	1.114	1.079	0.699	1.176	1.079	1.146	1.041	1.079	0.903	1.146	1.041	1.114	1.114	1.114	1.000	1.176	0.954	1.204	1.114	1.146	1.114	1.146	1.176	1.041	1.079	1.079	1.041	1.079	1.114	1.230	1.079	1.176	1.146	1.041	1.079	0.845	0.954	1.041	1.114	1.000	1.176	1.079	0.903	1.000	1.000	
RUVBL2	1.041	1.079	1.041	1.079	1.041	1.114	1.114	1.041	0.845	1.079	1.114	1.230	1.079	1.000	1.255	1.176	1.000	1.079	1.146	0.778	1.041	1.176	1.114	1.041	1.041	1.000	1.114	0.954	1.146	1.114	1.114	0.699	0.903	0.602	0.602	1.146	1.204	1.146	1.114	1.000	1.146	1.204	0.903	1.000	1.146	1.146	1.079	1.176	1.176	1.079	1.079	1.041	0.699	1.114	1.114	1.176	1.079	1.041	0.954	1.041	1.114	1.176	1.146	1.079	1.079	1.114	1.000	1.114	1.114	1.204	1.204	1.146	1.146	1.000	1.114	1.146	0.954	1.000	1.146	1.279	1.000	1.204	1.079	1.041	0.954	0.954	1.114	0.954	1.041	0.845	1.230	0.954	0.845	1.000	1.041	
RXRB			0.000			0.000										0.000		0.000																							0.000							0.301					0.000				0.000			0.000									0.000						0.000						0.000											0.000				
RYR2	0.000	0.000			0.000	0.000	0.301	0.000			0.000	0.000	0.000		0.000	0.000			0.301			0.301	0.000		0.000	0.000	0.000	0.000	0.477	0.000	0.000			0.000	0.000	0.301		0.000		0.000	0.000		0.000	0.000	0.301	0.477	0.000		0.000	0.000	0.000	0.000						0.477		0.000	0.000		0.477	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000		0.000		0.000	0.301	0.000	0.000	0.000	0.000	0.000		0.000		0.000	0.301	0.000		0.000			0.000	0.000	
S100A10	0.699	0.477	0.602	0.477	0.477	0.477	0.778	0.301	0.602	0.477	0.699	0.602	0.477	0.602	0.699	0.602	0.477	0.602	0.778	0.477	0.699	0.699	0.699	0.477	0.699	0.699	0.778	0.602	0.699	0.602	0.602	0.602	0.477	0.602	0.000	0.602	0.602	0.602	0.602	0.778	0.602	0.699	0.477	0.477	0.602	0.699	0.778	0.699	0.602	0.602	0.602	0.602	0.301	0.699	0.602	0.954	0.699	0.477	0.477	0.477	0.778	0.477	0.699	0.699	0.301	0.602	0.301	0.699	0.778	0.477	0.477	0.477	0.602	0.602	0.477	0.301	0.602	0.602	0.602	0.699	0.699	0.699	0.602	0.602	0.778	0.699	0.477	0.477	0.602	0.602	0.477	0.699	0.602	0.602	0.602	
S100A11	0.903	0.602	0.778	0.602	0.845	0.778	0.602	0.699	0.602	0.699	0.699	0.699	0.845	0.778	1.041	0.778	0.845	0.477	0.954	0.845	0.778	0.778	0.778	0.602	0.903	0.778	0.845	0.778	0.778	0.301	0.845	0.778	0.602	0.699	0.845	0.903	0.903	0.699	0.602	0.699	0.903	0.845	0.778	0.699	0.845	1.000	0.954	1.000	0.778	0.845	0.778	0.903	0.477	0.845	0.602	0.954	0.954	0.602	0.699	0.845	1.041	1.000	0.602	0.845	0.699	0.954	0.845	0.845	0.778	0.845	0.778	0.778	0.845	0.602	0.602	0.699	0.845	0.778	0.778	0.903	0.954	0.954	0.845	0.845	0.845	0.699	0.699	0.778	0.778	0.477	0.903	0.845	0.602	0.778	0.845	
S100A12	0.477	0.000	0.000		0.477		0.000				0.301	0.477			0.477	0.000			0.602	0.000			0.301	0.000	0.301		0.477	0.301	0.000		0.000			0.301	0.301		0.602	0.477			0.000		0.477	0.000		0.301	0.000	0.699			0.000			0.000	0.000	0.000		0.000			0.301	0.000	0.000		0.301	0.000	0.301	0.000		0.477		0.000	0.477		0.000			0.000	0.000		0.602	0.602		0.000						0.000	0.301		0.000	0.477		
S100A13	0.301	0.000	0.301	0.000	0.000	0.301	0.000		0.000	0.602	0.000			0.301	0.000	0.000	0.301	0.301	0.477	0.301	0.602	0.301	0.477	0.301		0.477	0.477	0.301	0.301	0.000	0.000	0.000	0.602	0.301		0.699	0.000	0.477	0.000	0.000	0.477	0.301	0.301		0.477	0.477	0.000	0.301	0.000	0.301	0.301	0.477	0.000	0.477	0.000	0.301	0.477	0.301		0.301	0.301	0.301	0.000	0.301		0.477	0.301		0.778		0.477		0.301	0.000	0.301	0.477	0.301	0.000	0.301	0.301	0.301	0.602	0.301	0.477	0.602	0.602	0.000		0.602	0.000	0.000	0.301	0.301		0.602	
S100A14	0.602		0.477	0.477		0.301	0.602	0.000	0.000		0.477	0.000	0.301	0.301	0.477	0.301	0.477		0.602	0.301		0.301	0.602	0.301	0.000	0.477	0.000	0.000	0.699	0.301	0.602	0.000			0.000	0.000	0.477	0.602	0.477	0.477	0.602	0.602	0.301	0.477	0.301		0.000	0.602	0.477	0.301	0.000	0.301	0.000	0.301	0.602	0.845	0.477	0.000	0.301		0.845	0.477	0.699	0.000		0.477	0.477	0.000	0.477	0.000	0.000	0.000	0.602	0.301	0.000	0.000	0.477	0.000	0.602	0.602	0.602	0.602	0.602		0.477	0.301	0.000	0.301		0.000	0.000	0.477	0.301	0.477	0.000	
